id,type,subtype,price,Transaction Type,zip,KitchenType,constructionYear,Building_condition,energy_heatingType,Energy Consumption Level,bedroom_count,Land_surface,Attic_Exists,Basement_Exists,Garden_surface,Outdoor_terrace_exists,Specificities SME office exists,Wellness Equipment Swimming Pool,Parking Space Count indoor,Parking SpaceCount outdoor,Condition is Newly Built,date
9631810,apartment,penthouse,459000,forsale,8670,installed,1975,tobedoneup,gas,327,2,,,,,true,,,,,,10/18/22
10082191,apartment,duplex,490000,forsale,1410,installed,1969,good,gas,214,4,,,true,200,true,true,,2,4,,10/18/22
9960403,apartment,apartment,495000,forsale,1190,installed,1958,torenovate,gas,230,3,,,true,,true,,,,,,10/18/22
9890970,apartment,apartment,495000,forsale,9000,installed,1967,asnew,gas,150,3,,,true,,true,,,,,,10/18/22
10115674,apartment,apartment,525000,forsale,1050,installed,1930,good,gas,307,3,,,true,,true,true,,3,,,10/18/22
10087918,apartment,apartment,529000,forsale,8370,installed,1987,asnew,electric,189,3,,,true,,true,,,,,,10/18/22
10117474,apartment,apartment,535000,forsale,8300,usahyperequipped,1975,justrenovated,gas,322,1,,,,,true,,,,,,10/18/22
9943235,apartment,apartment,547000,forsale,3500,installed,1939,asnew,gas,98,2,,,,,,,,,,,10/18/22
10106847,apartment,apartment,549000,forsale,2320,installed,2008,justrenovated,fueloil,231,4,,,,,true,true,,,4,,10/18/22
10026322,apartment,apartment,549000,forsale,3500,installed,1962,asnew,gas,54,3,,,,,,,,,,,10/18/22
9974002,apartment,groundfloor,565000,forsale,1200,usahyperequipped,2018,asnew,gas,96,3,,,true,,true,,,1,,,10/18/22
10052899,apartment,duplex,580000,forsale,1050,usahyperequipped,2010,asnew,,,2,,,true,15,true,,,1,,,10/18/22
9994174,apartment,apartment,590000,forsale,1060,installed,,asnew,gas,168,3,,,true,,,,,,2,,10/18/22
9949986,apartment,apartment,595000,forsale,8300,usahyperequipped,2004,asnew,gas,103,2,,,,,true,,,,,,10/18/22
7698119,apartment,apartment,598000,forsale,1200,hyperequipped,2007,good,gas,96,3,,,true,,true,,,1,,,10/18/22
10064002,apartment,groundfloor,599000,forsale,2070,hyperequipped,,asnew,gas,239,2,,,,78,true,,,,1,,10/18/22
9539253,apartment,apartment,645000,forsale,1180,,1904,asnew,gas,220,3,,,true,,true,true,,,,,10/18/22
9970932,apartment,apartment,650000,forsale,1000,hyperequipped,1900,asnew,gas,97,3,,,true,,,,,,,,10/18/22
9993321,apartment,penthouse,650000,forsale,1150,usasemiequipped,2011,asnew,gas,106,2,,,true,,true,,,,1,,10/18/22
10003552,apartment,apartment,650000,forsale,1180,hyperequipped,1967,torenovate,gas,133,3,,,true,,true,,,1,,,10/18/22
9941801,apartment,apartment,675000,forsale,1180,hyperequipped,1965,good,gas,271,3,,,true,,true,true,,1,,,10/18/22
10090645,apartment,penthouse,675000,forsale,2000,installed,1932,asnew,gas,232,4,,,true,,true,,,,,,10/18/22
10080136,apartment,penthouse,675000,forsale,2018,installed,1932,asnew,gas,232,4,,,true,,true,,,,,,10/18/22
9980803,apartment,apartment,675000,forsale,8300,hyperequipped,1967,justrenovated,gas,102,2,,,,,,,,,,,10/18/22
10119171,apartment,apartment,675000,forsale,9000,installed,2008,asnew,gas,147,2,,,,,,,,,,,10/18/22
10019211,apartment,triplex,685000,forsale,1200,hyperequipped,1956,good,fueloil,249,4,,,true,,true,true,,,,,10/18/22
9986249,apartment,apartment,715000,forsale,1000,hyperequipped,1999,asnew,gas,93,3,,,,,,,,,2,,10/18/22
9996334,apartment,apartment,725000,forsale,1040,hyperequipped,1980,good,gas,265,2,,,true,,true,,,1,,,10/18/22
9953269,apartment,apartment,725000,forsale,1180,hyperequipped,1954,good,fueloil,365,3,,,true,734,true,,,1,1,,10/18/22
9900935,apartment,loft,740000,forsale,1000,usahyperequipped,,asnew,gas,318,2,,,,,,true,,,1,,10/18/22
10158182,house,house,240000,forsale,5300,installed,,justrenovated,fueloil,299,2,300,true,true,,true,true,,1,2,,10/18/22
9625357,house,house,131000,forsale,2550,notinstalled,1930,,gas,371,3,1664,,true,1100,true,,,1,,,10/18/22
10158172,apartment,apartment,260000,forsale,8870,installed,2020,good,gas,47,2,,,,,true,,,,,,10/18/22
10158154,house,house,290000,forsale,7900,installed,2021,,gas,,3,515,true,,,,,,,2,1,10/18/22
10158153,house,bungalow,445000,forsale,1410,hyperequipped,1973,good,electric,555,2,681,true,,500,true,,,2,3,,10/18/22
10158149,apartment,flatstudio,59000,forsale,4000,notinstalled,,tobedoneup,,251,1,,,,,,,,,,,10/18/22
9641565,house,house,184000,forsale,2550,,,good,gas,,5,155,,true,,true,,,,1,,10/18/22
10121293,house,house,275000,forsale,1420,,,torenovate,fueloil,515,2,207,,,100,,true,,,,,10/18/22
9779615,apartment,loft,740000,forsale,1000,hyperequipped,,asnew,gas,318,2,,,,,,true,,1,,,10/18/22
9978786,apartment,apartment,745000,forsale,2000,installed,1923,asnew,gas,168,2,,,true,150,true,,,,,,10/18/22
10019826,apartment,duplex,750000,forsale,1040,,1918,good,gas,,4,,,,77,,,,,,,10/18/22
10096780,apartment,penthouse,750000,forsale,1082,usahyperequipped,1980,asnew,,504,2,,,true,,,true,,1,,,10/18/22
9989184,apartment,penthouse,750000,forsale,2930,hyperequipped,2009,good,,129.87,2,,,true,,true,true,,1,2,,10/18/22
10043562,apartment,apartment,755000,forsale,8300,usainstalled,1966,justrenovated,,322,2,,,,,true,,,1,1,,10/18/22
10113863,apartment,penthouse,770000,forsale,1150,,2018,asnew,,98,2,,,true,,true,,,,1,,10/18/22
10113865,apartment,penthouse,770000,forsale,1160,,2018,asnew,,98,2,,,true,,true,,,,1,,10/18/22
10066735,apartment,apartment,770000,forsale,1160,usahyperequipped,2018,asnew,gas,98,2,,,true,,true,,,1,1,,10/18/22
10094900,apartment,apartment,790000,forsale,1180,installed,,asnew,gas,122,3,,,true,,,,,1,,,10/18/22
9903181,apartment,apartment,849000,forsale,2000,installed,2018,asnew,,56,3,,,,,true,,,1,,,10/18/22
10071676,apartment,apartment,890000,forsale,1030,hyperequipped,1915,asnew,fueloil,197,3,,,true,,,true,,,1,,10/18/22
10101274,apartment,groundfloor,890000,forsale,1150,installed,1950,asnew,gas,310,3,,,true,,true,true,,1,1,,10/18/22
10041115,apartment,penthouse,890000,forsale,1180,hyperequipped,1992,good,gas,193,3,,,true,,true,,true,,,,10/18/22
9991630,apartment,penthouse,975000,forsale,1060,usahyperequipped,1910,justrenovated,gas,189,4,,,true,,true,,,1,,,10/18/22
10125535,apartment,apartment,995000,forsale,8300,installed,2006,good,gas,77,2,,,true,,true,,,,1,,10/18/22
10085824,apartment,apartment,995000,forsale,8300,usahyperequipped,1999,justrenovated,gas,112,2,,,true,,true,,,,,,10/18/22
9529872,apartment,penthouse,998000,forsale,1050,usahyperequipped,2014,asnew,,82,3,,,true,,true,,,,3,,10/18/22
10096846,apartment,apartment,998000,forsale,2000,hyperequipped,2000,good,gas,141,3,,,,,,true,,,1,,10/18/22
9861729,apartment,apartment,1050000,forsale,1000,usahyperequipped,2011,asnew,,127,2,,,true,,true,,true,,2,,10/18/22
9941836,apartment,apartment,1090000,forsale,1180,usahyperequipped,2020,justrenovated,gas,86,5,,,true,100,true,true,,2,,,10/18/22
9967040,apartment,apartment,1095000,forsale,1050,installed,1930,good,fueloil,142,3,,,true,,,true,,1,,,10/18/22
9403384,apartment,apartment,1100000,forsale,1180,usahyperequipped,,asnew,gas,157,2,,,true,,true,true,,1,,,10/18/22
9162837,apartment,apartment,1125000,forsale,1160,hyperequipped,1978,good,gas,168,4,,,true,240,true,,,,4,,10/18/22
9982376,apartment,apartment,1140000,forsale,8620,installed,2001,asnew,electric,439,3,,,,,true,,,,,,10/18/22
9643311,apartment,penthouse,1300000,forsale,5100,usahyperequipped,2011,asnew,gas,186,3,,,true,,true,,,1,4,,10/18/22
10105808,apartment,apartment,1650000,forsale,8300,installed,1966,torenovate,gas,223,3,,,true,,true,,,,,,10/18/22
9997721,apartment,apartment,1995000,forsale,1000,usahyperequipped,1894,justrenovated,gas,143,5,,,true,,true,true,,4,,,10/18/22
9660753,apartment,penthouse,1995000,forsale,1180,hyperequipped,1985,asnew,gas,108,3,,true,true,,true,,,2,,,10/18/22
9995272,apartment,penthouse,2100000,forsale,1050,hyperequipped,1992,asnew,gas,443,3,,,true,,true,true,,2,,,10/18/22
10158182,house,house,240000,forsale,5300,installed,,justrenovated,fueloil,299,2,300,true,true,,true,true,,1,2,,10/18/22
9625357,house,house,131000,forsale,2550,notinstalled,1930,,gas,371,3,1664,,true,1100,true,,,1,,,10/18/22
10158172,apartment,apartment,260000,forsale,8870,installed,2020,good,gas,47,2,,,,,true,,,,,,10/18/22
10158154,house,house,290000,forsale,7900,installed,2021,,gas,,3,515,true,,,,,,,2,1,10/18/22
10158153,house,bungalow,445000,forsale,1410,hyperequipped,1973,good,electric,555,2,681,true,,500,true,,,2,3,,10/18/22
10158149,apartment,flatstudio,59000,forsale,4000,notinstalled,,tobedoneup,,251,1,,,,,,,,,,,10/18/22
9641565,house,house,184000,forsale,2550,,,good,gas,,5,155,,true,,true,,,,1,,10/18/22
10121293,house,house,275000,forsale,1420,,,torenovate,fueloil,515,2,207,,,100,,true,,,,,10/18/22
10047097,apartment,apartment,2195000,forsale,8300,usahyperequipped,1967,justrenovated,gas,154,3,,,,,,,,,,,10/18/22
9985940,apartment,penthouse,3200000,forsale,2000,hyperequipped,2015,asnew,gas,169,2,,,true,,true,true,,2,2,,10/18/22
9893545,apartment,penthouse,3500000,forsale,1000,usahyperequipped,2017,asnew,,95,3,,,true,,true,,true,4,4,,10/18/22
9970171,apartment,apartment,3800000,forsale,1180,installed,1971,justrenovated,,235,3,,,true,,true,,,,3,,10/18/22
10145575,apartment,apartment,250000,forsale,1000,installed,1935,justrenovated,gas,,1,,,,,,,,,,,10/18/22
10145531,apartment,apartment,675000,forsale,8300,usahyperequipped,1958,asnew,gas,98,2,,,true,,,,,,,,10/18/22
10133208,apartment,apartment,245000,forsale,8620,hyperequipped,,asnew,electric,,1,,,,,true,,,,,,10/18/22
10148810,apartment,apartment,295500,forsale,2230,,2021,asnew,gas,,2,,,,,true,,,,,1,10/18/22
10148812,apartment,apartment,308500,forsale,2230,,2021,asnew,gas,,2,,,,,true,,,,,1,10/18/22
10147053,apartment,apartment,165000,forsale,1070,installed,,tobedoneup,gas,269,1,,,,,,,,,,,10/18/22
10147051,apartment,apartment,175000,forsale,1070,installed,,tobedoneup,gas,208,1,,,,,,,,,,,10/18/22
10148136,apartment,apartment,225000,forsale,1180,installed,,,gas,146,1,,,true,,true,,,,,,10/18/22
10147619,apartment,apartment,259000,forsale,9300,hyperequipped,1970,good,gas,232,2,,,true,,true,,,,,,10/18/22
10148361,apartment,apartment,275000,forsale,8620,installed,2004,asnew,,186,2,,,true,,true,,,,,,10/18/22
10135623,apartment,apartment,139500,forsale,9660,,1970,asnew,gas,66,1,,,,,,,,,,,10/18/22
10134026,apartment,apartment,159000,forsale,1083,,1965,torenovate,gas,346,2,,,true,,true,,,,,,10/18/22
10133915,apartment,apartment,259000,forsale,9100,installed,2018,asnew,gas,102,2,,,,,true,,,2,,,10/18/22
10134982,apartment,apartment,275000,forsale,1050,,,,fueloil,159,1,,,true,,,,,,,,10/18/22
10133999,apartment,apartment,330000,forsale,1500,hyperequipped,2018,asnew,gas,145,2,,,,,true,,,,,,10/18/22
10135565,apartment,penthouse,450000,forsale,3545,hyperequipped,2008,asnew,gas,139,2,,true,,,true,true,,,,,10/18/22
10135374,apartment,apartment,460000,forsale,9000,,2020,good,,40,2,,,,,true,,,1,,,10/18/22
10151612,apartment,flatstudio,199000,forsale,1160,usahyperequipped,,asnew,electric,331,0,,,true,,true,,,,,,10/18/22
10028044,apartment,serviceflat,160000,forsale,2861,semiequipped,2015,,,117,1,,,true,,true,,,,,1,10/18/22
9790452,apartment,apartment,230000,forsale,4470,installed,2022,,,,2,,,true,,true,,,,1,1,10/18/22
9932807,apartment,apartment,245000,forsale,9600,installed,2022,,gas,66,2,,,,,true,,,,,1,10/18/22
9792223,apartment,apartment,250000,forsale,4470,installed,2022,,,,2,,,,,true,,,,1,1,10/18/22
9009624,apartment,apartment,251300,forsale,4100,semiequipped,,,gas,,2,,,true,,true,,,,1,1,10/18/22
9009620,apartment,apartment,256700,forsale,4100,semiequipped,,,gas,,2,,,true,,true,,,,1,1,10/18/22
9009623,apartment,apartment,262000,forsale,4100,semiequipped,,,gas,,2,,,true,,true,,,,1,1,10/18/22
9932806,apartment,apartment,265000,forsale,9600,installed,2022,,gas,40,2,,,,,true,,,,,1,10/18/22
10158182,house,house,240000,forsale,5300,installed,,justrenovated,fueloil,299,2,300,true,true,,true,true,,1,2,,10/18/22
9625357,house,house,131000,forsale,2550,notinstalled,1930,,gas,371,3,1664,,true,1100,true,,,1,,,10/18/22
10158172,apartment,apartment,260000,forsale,8870,installed,2020,good,gas,47,2,,,,,true,,,,,,10/18/22
10158154,house,house,290000,forsale,7900,installed,2021,,gas,,3,515,true,,,,,,,2,1,10/18/22
10158153,house,bungalow,445000,forsale,1410,hyperequipped,1973,good,electric,555,2,681,true,,500,true,,,2,3,,10/18/22
10158149,apartment,flatstudio,59000,forsale,4000,notinstalled,,tobedoneup,,251,1,,,,,,,,,,,10/18/22
9641565,house,house,184000,forsale,2550,,,good,gas,,5,155,,true,,true,,,,1,,10/18/22
10121293,house,house,275000,forsale,1420,,,torenovate,fueloil,515,2,207,,,100,,true,,,,,10/18/22
9932804,apartment,apartment,267500,forsale,9600,installed,2022,,gas,44,2,,,,,true,,,,,1,10/18/22
10127774,apartment,apartment,279000,forsale,9052,,2021,,gas,,1,,,,,true,,,,,1,10/18/22
10127771,apartment,apartment,288000,forsale,9052,,2021,,gas,,1,,,,,true,,,,,1,10/18/22
10127802,apartment,apartment,290000,forsale,9052,,2021,,gas,,1,,,,,true,,,,,1,10/18/22
10104086,apartment,apartment,295000,forsale,1120,hyperequipped,,asnew,gas,,2,,,true,,true,,,,,1,10/18/22
10127791,apartment,apartment,295000,forsale,9052,,2021,,gas,,1,,,,,true,,,,,1,10/18/22
9917045,apartment,apartment,299500,forsale,9700,,2022,,,,2,,,,,true,,,,,1,10/18/22
10039490,apartment,duplex,309000,forsale,1785,installed,2021,good,gas,,2,,,true,,true,,,1,,1,10/18/22
10127799,apartment,apartment,415000,forsale,9052,,2021,,gas,,2,,,,,true,,,,,1,10/18/22
9009628,apartment,penthouse,416000,forsale,4100,semiequipped,,,gas,,3,,,true,,true,,,1,,1,10/18/22
10127769,apartment,apartment,428000,forsale,9052,,2021,,gas,,2,,,,,true,,,,,1,10/18/22
10070828,apartment,apartment,430000,forsale,9000,,,asnew,,,2,,,,,true,,,,,1,10/18/22
10018923,apartment,apartment,434000,forsale,1050,installed,2022,asnew,gas,45,2,,,true,,true,,,1,1,1,10/18/22
10127789,apartment,apartment,435000,forsale,9052,,2021,,gas,,2,,,,,true,,,,,1,10/18/22
9968748,apartment,apartment,519000,forsale,9000,,2022,,,,3,,,,,true,,,,,1,10/18/22
9968746,apartment,apartment,529000,forsale,9000,,2022,,,,3,,,,,true,,,,,1,10/18/22
9968745,apartment,apartment,574500,forsale,9000,,2022,,,,2,,,,,true,,,,,1,10/18/22
9763616,apartment,apartment,607500,forsale,8370,hyperequipped,,asnew,gas,,2,,,,,true,,,,,1,10/18/22
9968744,apartment,apartment,679000,forsale,9000,,2022,,,,2,,,,,true,true,,,,1,10/18/22
9958412,apartment,duplex,1264000,forsale,1000,usahyperequipped,2021,asnew,gas,,3,,,true,,true,true,,,1,1,10/18/22
10157757,apartment,apartment,199000,forsale,2140,semiequipped,,good,gas,307,2,,,,,true,,,,,,10/18/22
10098307,apartment,groundfloor,225000,forsale,2660,usahyperequipped,2006,asnew,gas,203,1,,,,16,true,,,1,,,10/18/22
10157391,apartment,apartment,260000,forsale,1180,hyperequipped,,good,gas,235,1,,,,,true,,,,,,10/18/22
10157183,apartment,apartment,289000,forsale,9000,installed,1967,,gas,115,2,,,,,true,,,,,,10/18/22
10158037,apartment,apartment,1850000,forsale,8300,usainstalled,1948,justrenovated,,,3,,,,,,,,,,,10/18/22
10132566,apartment,groundfloor,265000,forsale,9940,hyperequipped,2025,asnew,,,1,,,true,,true,,,,1,1,10/18/22
10132561,apartment,groundfloor,295000,forsale,9940,hyperequipped,2025,asnew,,,1,,,true,,true,,,,1,1,10/18/22
10132560,apartment,groundfloor,295000,forsale,9940,hyperequipped,2025,asnew,,,1,,,true,,true,,,,1,1,10/18/22
10132576,apartment,groundfloor,320000,forsale,9940,hyperequipped,2025,asnew,,,2,,,true,,true,,,,1,1,10/18/22
10144462,apartment,apartment,348992,forsale,1030,notinstalled,2022,,gas,,2,,,true,,,,,,,,10/18/22
10158182,house,house,240000,forsale,5300,installed,,justrenovated,fueloil,299,2,300,true,true,,true,true,,1,2,,10/18/22
9625357,house,house,131000,forsale,2550,notinstalled,1930,,gas,371,3,1664,,true,1100,true,,,1,,,10/18/22
10158172,apartment,apartment,260000,forsale,8870,installed,2020,good,gas,47,2,,,,,true,,,,,,10/18/22
10158154,house,house,290000,forsale,7900,installed,2021,,gas,,3,515,true,,,,,,,2,1,10/18/22
10158153,house,bungalow,445000,forsale,1410,hyperequipped,1973,good,electric,555,2,681,true,,500,true,,,2,3,,10/18/22
10158149,apartment,flatstudio,59000,forsale,4000,notinstalled,,tobedoneup,,251,1,,,,,,,,,,,10/18/22
9641565,house,house,184000,forsale,2550,,,good,gas,,5,155,,true,,true,,,,1,,10/18/22
10121293,house,house,275000,forsale,1420,,,torenovate,fueloil,515,2,207,,,100,,true,,,,,10/18/22
10132562,apartment,groundfloor,360000,forsale,9940,hyperequipped,2025,asnew,,,2,,,true,,true,,,,1,1,10/18/22
10132559,apartment,groundfloor,360000,forsale,9940,hyperequipped,2025,asnew,,,2,,,true,,true,,,,1,1,10/18/22
10132564,apartment,groundfloor,410000,forsale,9940,hyperequipped,2025,asnew,,,3,,,true,,true,,,,1,1,10/18/22
10132640,apartment,apartment,715000,forsale,1180,,2022,asnew,gas,60,3,,,true,,true,,,1,1,1,10/18/22
10144224,apartment,duplex,930000,forsale,3300,,2002,good,gas,122,0,,,,,,,,,,,10/18/22
10144275,apartment,apartment,1650000,forsale,1180,,,good,gas,208,6,,,,,true,true,,3,,,10/18/22
10083472,apartment,apartment,155000,forsale,8400,,1961,torenovate,,718,1,,,true,,,,,1,,,10/18/22
10146435,apartment,apartment,215000,forsale,2170,installed,,justrenovated,gas,219,1,,,true,,true,,,,1,,10/18/22
10135035,apartment,apartment,235000,forsale,6950,installed,2016,asnew,gas,108,2,,,true,,true,,,1,1,1,10/18/22
10146623,apartment,apartment,285000,forsale,8700,installed,2018,good,gas,70,2,,,,,true,,,,1,,10/18/22
10101757,apartment,penthouse,695000,forsale,1050,usahyperequipped,1930,asnew,gas,145,2,,,,,true,,,,,,10/18/22
10134912,apartment,apartment,3324000,forsale,1000,usahyperequipped,2018,asnew,gas,59,3,,,,,true,,,,50,1,10/18/22
10100362,apartment,apartment,315000,forsale,1472,usahyperequipped,,asnew,gas,270,2,,,true,55,,true,,,2,,10/18/22
10151770,apartment,apartment,249000,forsale,1360,usahyperequipped,,asnew,gas,,2,,,true,,true,,,,2,1,10/18/22
10151771,apartment,apartment,275000,forsale,1360,usahyperequipped,,asnew,gas,,2,,,true,,true,,,,2,1,10/18/22
10153471,apartment,duplex,335000,forsale,5100,,,asnew,gas,84,2,,,true,,,,,,1,1,10/18/22
10150961,apartment,flatstudio,173904,forsale,1030,installed,2022,,gas,,0,,,true,,,,,,,,10/18/22
10150661,apartment,apartment,179000,forsale,8380,,,asnew,gas,,1,,,,,true,,,1,,,10/18/22
10150710,apartment,apartment,209000,forsale,8380,,,asnew,gas,,2,,,true,,true,,,1,,,10/18/22
10150709,apartment,apartment,219000,forsale,8380,,,asnew,gas,,2,,,true,,true,,,1,,,10/18/22
10151096,apartment,apartment,235000,forsale,8430,installed,1988,good,,249,2,,,,,,,,1,,,10/18/22
10150657,apartment,apartment,239000,forsale,8380,,,asnew,gas,,2,,,,,true,,,1,,,10/18/22
10150684,apartment,apartment,279000,forsale,8380,,,asnew,gas,,3,,,,,true,,,1,,,10/18/22
10149936,apartment,apartment,299000,forsale,1190,hyperequipped,1957,asnew,fueloil,,2,,,true,,true,,,1,2,,10/18/22
10139533,apartment,apartment,370000,forsale,9810,,2023,asnew,,,3,,,,,true,,,,,1,10/18/22
10129480,apartment,apartment,895000,forsale,1050,hyperequipped,1935,asnew,gas,,3,,true,true,,true,true,,1,,,10/18/22
10138304,apartment,duplex,8100000,forsale,8300,,2021,asnew,,,3,,,true,,true,true,,,,1,10/18/22
10135827,apartment,apartment,765000,forsale,8300,hyperequipped,1913,torenovate,gas,576,1,,,,,,,,,,,10/18/22
10155921,apartment,apartment,85000,forsale,5590,,,good,fueloil,237,1,,,,,,,,,1,,10/18/22
10155320,apartment,apartment,98000,forsale,6950,,,asnew,electric,247,1,,,,,,,,,1,,10/18/22
10158182,house,house,240000,forsale,5300,installed,,justrenovated,fueloil,299,2,300,true,true,,true,true,,1,2,,10/18/22
9625357,house,house,131000,forsale,2550,notinstalled,1930,,gas,371,3,1664,,true,1100,true,,,1,,,10/18/22
10158172,apartment,apartment,260000,forsale,8870,installed,2020,good,gas,47,2,,,,,true,,,,,,10/18/22
